time,dest,dir,len,etd
1417131061.47,Richmond,North,6,19
1417131121.84,Fremont,South,6,12
1417131121.84,Richmond,North,6,18
1417131181.18,Fremont,South,6,11
1417131181.18,Richmond,North,6,18
1417131241.51,Fremont,South,6,10
1417131241.51,Richmond,North,6,16
1417131301.85,Fremont,South,6,9
1417131301.85,Richmond,North,6,16
1417131361.21,Fremont,South,6,8
1417131361.21,Richmond,North,6,15
1417131421.57,Fremont,South,6,7
1417131421.57,Richmond,North,6,13
1417131481.93,Fremont,South,6,6
1417131481.93,Richmond,North,6,12
1417131541.29,Fremont,South,6,5
1417131541.29,Richmond,North,6,11
1417131601.66,Fremont,South,6,4
1417131601.66,Richmond,North,6,11
1417131661.99,Fremont,South,6,3
1417131661.99,Richmond,North,6,10
1417131721.34,Fremont,South,6,1
1417131721.34,Richmond,North,6,8
1417131781.67,Fremont,South,6,Leaving
1417131781.67,Richmond,North,6,8
1417131842.05,Fremont,South,6,20
